10c_req_id,10a_req_id,covered_by_10a,10a_coverage_type,coverage_gap_reason,coverage_status_normalized,baseline_gap_class,new_best_practice_wave,requires_10a_backport,coverage_confidence,canonical_owner_surface,external_proof_pack_ref,harmonization_notes
10C-REQ-150,None,no,Not extracted - C6 case file not in baseline,10a missing case compilation,NO,not_in_28_baseline,,true,high,00B_L4_State_Archive_and_UWG,,
10C-REQ-151,None,no,Not extracted - C6 investigation not in baseline,10a missing investigation,NO,not_in_28_baseline,,true,high,06_L6_Shadow_Evaluation_System_Learning,,
10C-REQ-152,None,no,Not extracted - C6 rule drafting not in baseline,10a missing rule drafting,NO,not_in_28_baseline,,true,high,00B_L4_State_Archive_and_UWG,,
10C-REQ-153,None,no,Not extracted - C6 gauntlet not in baseline,10a missing commandant gauntlet,NO,not_in_28_baseline,,true,high,00B_L4_State_Archive_and_UWG,,
10C-REQ-154,None,no,Not extracted - C6 knowledge extract not in baseline,10a missing knowledge extraction,NO,not_in_28_baseline,,true,high,00B_L4_State_Archive_and_UWG,,
10C-REQ-155,None,no,Not extracted - C7 G1 not in baseline,10a missing C7 capability plane,NO,not_in_28_baseline,,true,high,00A_L5_Governance_Safety,,
10C-REQ-156,None,no,Not extracted - C7 G2 not in baseline,10a missing registry validation,NO,not_in_28_baseline,,true,high,00A_L5_Governance_Safety,,
10C-REQ-157,None,no,Not extracted - C7 G3 not in baseline,10a missing lane routing,NO,not_in_28_baseline,,true,high,00A_L5_Governance_Safety,,
10C-REQ-158,None,no,Not extracted - C7 G4 not in baseline,10a missing access ticket,NO,not_in_28_baseline,,true,high,00A_L5_Governance_Safety,,
10C-REQ-159,None,no,Not extracted - C7 G5 not in baseline,10a missing call interception,NO,not_in_28_baseline,,true,high,00A_L5_Governance_Safety,,
10C-REQ-160,None,no,Not extracted - C7 G6 not in baseline,10a missing sovereign egress,NO,not_in_28_baseline,,true,high,00A_L5_Governance_Safety,,
10C-REQ-161,None,no,Not extracted - C7 G7 not in baseline,10a missing invocation record,NO,not_in_28_baseline,,true,high,00A_L5_Governance_Safety,,
10C-REQ-162,N/A,N/A,Explanatory only pedagogical,Not a normative requirement,NOT_APPLICABLE,pedagogical,,false,high,Cross_Cutting_Observability_Replay_Audit,,
10C-REQ-163,None,no,Not extracted - CRITICAL SCOPE NOTE not in baseline,10a missing chunk-by-chunk embedding note,NO,pedagogical,,false,high,Offline_Ingestion_Index_Build,,
10C-REQ-164,None,no,Not extracted - CRITICAL SCOPE NOTE not in baseline,10a missing current prompt prefix generation note,NO,pedagogical,,false,high,04_L2_Execute,,
10C-REQ-165,None,no,Not extracted - Divergence point not in baseline,10a missing encoder/decoder directionality distinction,NO,not_in_28_baseline,,true,high,Cross_Cutting_Observability_Replay_Audit,,
10C-REQ-166,None,no,Not extracted - Crucial fork not in baseline,10a missing pooling ferry vs vocabulary exit distinction,NO,not_in_28_baseline,,true,high,Cross_Cutting_Observability_Replay_Audit,,
10C-REQ-167,None,no,Not extracted - L5 policy plane not explicit in baseline,10a missing cross-cutting authority explicit statement,NO,not_in_28_baseline,,true,high,00A_L5_Governance_Safety,,
10C-REQ-168,REQ-001,partial,REQ-001 covers intake but not v29 explicit,10a missing process mapping v29 specific,PARTIAL,row_level_gap_only,,true,medium,01_U0_Request_Intake,,
10C-REQ-169,REQ-003,partial,REQ-003 covers L1 but not v29 explicit,10a missing process mapping v29 specific,PARTIAL,row_level_gap_only,,true,medium,02_L1_Reasoning_Plan,,
10C-REQ-170,REQ-006,partial,REQ-006 covers routing but not v29 explicit,10a missing process mapping v29 specific,PARTIAL,row_level_gap_only,,true,medium,03_L0_Route_Decision,,
10C-REQ-171,REQ-009,partial,REQ-009 covers L2 but not v29 explicit,10a missing process mapping v29 specific,PARTIAL,row_level_gap_only,,true,medium,04_L2_Execute,,
10C-REQ-172,REQ-012,partial,REQ-012 covers exit but not v29 explicit,10a missing process mapping v29 specific,PARTIAL,row_level_gap_only,,true,medium,05_Exit_Evaluation_and_Control,,
10C-REQ-173,REQ-021,partial,REQ-021 covers shadow eval but not v29 explicit,10a missing process mapping v29 specific,PARTIAL,row_level_gap_only,,true,medium,06_L6_Shadow_Evaluation_System_Learning,,
10C-REQ-174,,false,none,NEW best-practice gap (Anthropic/OpenAI/Galileo); see HITL-NEW-A risk-tier classifier,NO,new_best_practice,HITL-NEW,true,high,02_L1_Reasoning_Plan,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-175,,false,none,NEW best-practice gap (Anthropic/OpenAI/Galileo); see HITL-NEW-B pre-execution approval gate at L2 E2,NO,new_best_practice,HITL-NEW,true,high,04_L2_Execute,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-176,,false,none,NEW best-practice gap (Anthropic/OpenAI/Galileo); see HITL-NEW-C durable HITL suspend/resume primitive,NO,new_best_practice,HITL-NEW,true,high,00A_L5_Governance_Safety,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-177,,false,none,NEW best-practice gap (Anthropic/OpenAI/Galileo); see HITL-NEW-D UWG dual-control for regulated/irreversible commits,NO,new_best_practice,HITL-NEW,true,high,00B_L4_State_Archive_and_UWG,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-178,,false,none,NEW best-practice gap (Anthropic/OpenAI/Galileo); see HITL-NEW-E human-on-the-loop parallel surface (advisory only),NO,new_best_practice,HITL-NEW,true,high,06_L6_Shadow_Evaluation_System_Learning,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-179,,false,none,NEW best-practice gap (Anthropic/OpenAI/Galileo); see HITL-NEW-F HITLDecisionReceipt for closed-loop calibration,NO,new_best_practice,HITL-NEW,true,high,00A_L5_Governance_Safety,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-180,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 2 C2 context engineering); see C2-NEW-A tool-result clearing gate,NO,new_best_practice,C2-NEW,true,high,02_L1_Reasoning_Plan,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-181,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 2 C2 context engineering); see C2-NEW-B structured agent scratchpad,NO,new_best_practice,C2-NEW,true,high,03_L3_Orchestration,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-182,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 2 C2 context engineering); see C2-NEW-C trust-level propagation through PA,NO,new_best_practice,C2-NEW,true,high,00A_L5_Governance_Safety,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-183,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 2 C2 context engineering); see C2-NEW-D context utilization telemetry,NO,new_best_practice,C2-NEW,true,high,02_L1_Reasoning_Plan,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-184,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 2 C2 context engineering); see C2-NEW-E citation chain across compaction,NO,new_best_practice,C2-NEW,true,high,02_L1_Reasoning_Plan,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-185,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 2 C2 context engineering); see C2-NEW-F session-to-persistent memory promotion,NO,new_best_practice,C2-NEW,true,high,00B_L4_State_Archive_and_UWG,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-186,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 3-10 hybrid audit); see C1-NEW-A tool-response token cap + pagination,NO,new_best_practice,C1-NEW,true,high,04_L2_Execute,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-187,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 3-10 hybrid audit); see C1-NEW-B tool-error self-correction schema,NO,new_best_practice,C1-NEW,true,high,00A_L5_Governance_Safety,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-188,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 3-10 hybrid audit); see C3-NEW-A sub-agent context-isolation receipt,NO,new_best_practice,C3-NEW,true,high,03_L3_Orchestration,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-189,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 3-10 hybrid audit); see C3-NEW-B sub-agent return summarization contract,NO,new_best_practice,C3-NEW,true,high,03_L3_Orchestration,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-190,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 3-10 hybrid audit); see C5-NEW-A eval-set version pinning + drift gate,NO,new_best_practice,C5-NEW,true,high,06_L6_Shadow_Evaluation_System_Learning,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-191,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 3-10 hybrid audit); see C5-NEW-B judge-vs-human calibration cadence enforcement,NO,new_best_practice,C5-NEW,true,high,06_L6_Shadow_Evaluation_System_Learning,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-192,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 3-10 hybrid audit); see C6-NEW-A defense-in-depth guardrail ordering contract,NO,new_best_practice,C6-NEW,true,high,00A_L5_Governance_Safety,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-193,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 3-10 hybrid audit); see C6-NEW-B prompt-attack regression suite (always-on golden adversarial),NO,new_best_practice,C6-NEW,true,high,00A_L5_Governance_Safety,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-194,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 3-10 hybrid audit); see C7-NEW-A W3C traceparent cross-system propagation,NO,new_best_practice,C7-NEW,true,high,Cross_Cutting_Observability_Replay_Audit,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-195,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 3-10 hybrid audit); see C7-NEW-B PII and secret scrubbing at telemetry egress,NO,new_best_practice,C7-NEW,true,high,00A_L5_Governance_Safety,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-196,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 3-10 hybrid audit); see C8-NEW-A MCP discovery cache TTL + invalidation contract,NO,new_best_practice,C8-NEW,true,high,04_L2_Execute,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-197,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 3-10 hybrid audit); see C8-NEW-B MCP tool deprecation lifecycle,NO,new_best_practice,C8-NEW,true,high,04_L2_Execute,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-198,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 3-10 hybrid audit); see C9-NEW-A workflow pattern selection rationale logging,NO,new_best_practice,C9-NEW,true,high,03_L3_Orchestration,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-199,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 3-10 hybrid audit); see C10-NEW-A per-request cost ceiling with circuit breaker,NO,new_best_practice,C10-NEW,true,high,00A_L5_Governance_Safety,,NORMALIZATION: 'false' -> NO (semantically equivalent)
10C-REQ-200,,false,none,NEW best-practice gap (Anthropic/OpenAI Wave 3-10 hybrid audit); see C10-NEW-B per-workflow cost attribution,NO,new_best_practice,C10-NEW,true,high,06_L6_Shadow_Evaluation_System_Learning,,NORMALIZATION: 'false' -> NO (semantically equivalent)
