G_id,concern,module_path,fan_in,fan_out,betweenness
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/governance/cache_guard.py,0,84,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/governance/docs_structure_guard.py,0,83,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/governance/l5_board_integration.py,0,9,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/governance/lazy_seam_classifier.py,0,82,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/governance/lazy_seam_enforcer.py,0,87,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/governance/lazy_seam_scanner.py,0,84,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/governance/logs_guard.py,0,82,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/hardcoded_path_refactorer_enforcer.py,0,88,0.00
G09,Audit emission (cross-cutting),agentic_core/L5_safety/enforcement/healing_invocation_audit_enforcer.py,0,84,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/hierarchy_validator_enforcer.py,0,80,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/hitl/review_queue_api.py,0,13,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/http_guard.py,0,82,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/human_review_queue_enforcer.py,0,96,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/import_boundary_check_enforcer.py,0,82,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/import_guard.py,0,82,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/import_surgeon_enforcer.py,0,87,0.00
G02,Client-side guardrail bank,agentic_core/L5_safety/enforcement/ingress_telemetry_otel.py,0,7,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/input_membrane_guardrail.py,0,80,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/input_validation_guardrail.py,0,86,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/layer_sovereignty_enforcer.py,0,88,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/mock_context_enforcer.py,0,91,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/module_collision_guardrail.py,0,86,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/mutation_prohibition_enforcer.py,0,87,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/namespace_medic_enforcer.py,0,89,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/oscillation_firewall_gate.py,0,81,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/phase_acceptance_guardrail.py,0,81,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/priority_violation_guard.py,0,80,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/pytest_config_guardrail.py,0,90,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/rag_guardrail.py,0,83,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/re_clear_loop_enforcer.py,0,82,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/runtime_mutation_guardrail.py,0,82,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/safety_eval_cache.py,0,82,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/safety_guardrail.py,0,79,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/safety_layer_enforcer.py,0,84,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/sealed_interface_check_enforcer.py,0,70,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/secure_error_handler_enforcer.py,0,89,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/security/credential_access_guard.py,0,86,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/security/secure_secrets.py,0,83,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/security/side_effect_guard.py,0,82,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/security/signature_verifier.py,0,88,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/sovereign_fence_validator_enforcer.py,0,83,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/sovereign_healing_engine_enforcer.py,0,86,0.00
G10,Policy plane,agentic_core/L5_safety/enforcement/sovereign_policy_registry_enforcer.py,0,64,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/ssot_guardrail.py,0,92,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/ssot_import_enforcer.py,0,90,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/structural_namespace_fence_enforcer.py,0,91,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/system_enforcer.py,0,88,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/test_rigor_enforcer.py,0,83,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/tool_safety_contract.py,0,90,0.00
G09,Audit emission (cross-cutting),agentic_core/L5_safety/enforcement/toxic_dependency_auditor_enforcer.py,0,83,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/vector_healing_strategy.py,0,82,0.00
G04,End-user identity propagation,agentic_core/L5_safety/identity/out_of_band_planes.py,0,7,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/AdversarialProbeAgent.py,0,87,0.00
G11,Continuous red-team assurance,agentic_core/L5_safety/reasoning/AdversarialRedTeamerAgent.py,0,89,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/ArchitectureGovernorValidatorAgent.py,0,7,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/AutonomousThreatEvolutionAgent.py,0,89,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/AutonomyGuardianAgent.py,0,100,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/BenchmarkingAgent.py,0,7,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/BootstrapAgent.py,0,8,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/BoundaryTestingAgent.py,0,88,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/ChaosEngineeringAgent.py,0,89,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/CodeDeduplicationAgent.py,0,11,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/CodeDetectorAgent.py,0,7,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/CodeEnforcerAgent.py,0,6,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/CodeFormatterAgent.py,0,8,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/CodeValidatorAgent.py,0,8,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/ComplexityAnalyzerAgent.py,0,10,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/CostGovernorAgent.py,0,4,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/CredentialScannerAgent.py,0,10,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/DependencyPruningAgent.py,0,8,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/DocstringComplianceAgent.py,0,88,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/DuplicateCodeDetectorAgent.py,0,104,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/GenerativeGuardAgent.py,0,110,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/HygieneGuardianAgent.py,0,92,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/IntegrityGateExecutorAgent.py,0,90,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/LocationHealerAgent.py,0,3,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/RedSentinelAgent.py,0,93,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/SafetyInspectorAgent.py,0,93,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/SelfUpdatingSafetyEngineAgent.py,0,95,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/StructureHealerAgent.py,0,93,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/UnusedCleanupAgent.py,0,84,0.00
G10,Policy plane,agentic_core/L5_safety/reasoning/adaptation/policy_adaptation_loop.py,0,14,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/file_classification/models.py,0,3,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/file_classification_validator.py,0,81,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/hierarchy_validator.py,0,80,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/root_hygiene_validator.py,0,80,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g01_request_ingress.py,0,10,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g02_identity_session.py,0,9,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g03_intent_ambiguity.py,0,7,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g04_safety_policy.py,0,9,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g05_risk_tier.py,0,8,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g06_hitl_approval.py,0,10,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g07_route_selection.py,0,8,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g08_retrieval_grounding.py,0,7,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g09_evidence_quality.py,0,7,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g10_prompt_assembly.py,0,7,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g11_tool_model_registry.py,0,7,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g12_tool_argument.py,0,6,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g13_tool_output_trust.py,0,8,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g14_external_egress.py,0,8,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g15_filesystem_shell.py,0,8,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g16_memory_access.py,0,7,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g17_privacy_cross_context.py,0,8,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g18_workflow_trajectory.py,0,7,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g19_loop_retry_thrash.py,0,7,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g20_cost_latency_budget.py,0,7,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g21_output_schema.py,0,7,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g22_output_quality.py,0,7,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g23_security_leakage.py,0,8,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g24_determinism_replay.py,0,7,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g26_exit_disposition.py,0,7,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g27_durable_write_sovereignty.py,0,7,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g28_audit_trace_completeness.py,0,7,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/ConstitutionalOverseer_util.py,0,79,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/agent_categorizer_util.py,0,82,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/cache_invalidation_util.py,0,85,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/capability_extractor_util.py,0,78,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/check_output_quality_util.py,0,64,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/cst_transformers_types_util.py,0,143,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/decorators_util.py,0,66,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/enforce_length_limits_util.py,0,64,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/extract_pattern_util.py,0,84,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/fix_inherited_invocation_util.py,0,85,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/force_app_depth_util.py,0,90,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/forge_fortress_util.py,0,89,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/gravity_visitor_util.py,0,81,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/guard_ddd_alignment_util.py,0,84,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/guard_observability_footprint_util.py,0,84,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/location_path_util.py,0,88,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/pre_deploy_check_util.py,0,68,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/register_all_validators_util.py,0,93,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/runners/agent_roster_runner.py,0,94,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/runners/arch_governor_runner.py,0,87,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/runners/code_validator_runner.py,0,87,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/runners/hierarchy_runner.py,0,87,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/runners/orchestrator_runner.py,0,89,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/security_controls_util.py,0,82,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/set_complexity_health_100_util.py,0,84,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/sovereign_lock_util.py,0,88,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/ssot_folder_check_util.py,0,79,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/structure_drift_writer.py,0,83,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/surgical_context_types_util.py,0,65,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/tiered_batch_util.py,0,86,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/unified_cst_healer_util.py,0,99,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/validate_generated_content_util.py,0,64,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/validate_path_ssot_util.py,0,81,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/validation_utils_util.py,0,81,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/verify_no_mock_data_util.py,0,84,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/verify_semantic_meta_learning_util.py,0,84,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/CodeJanitorAgent.py,0,65,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/GovernanceAgent.py,0,66,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/PascalSovereigntyAgent.py,0,67,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/achv_bullet_synthesizer_validator.py,0,82,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/agentthoughtprocess_validator.py,0,83,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/ats_validator.py,0,82,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/budget_profile_validator.py,0,81,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/campaign_balance_validator.py,0,79,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/consensus_verdict_validator.py,0,81,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/content_quality_validator.py,0,81,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/ddd_alignment_validator.py,0,89,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/deliverability_validator.py,0,79,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/dependencygraph_validator.py,0,93,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/golden_state_test_case_validator.py,0,85,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/governance_validator.py,0,81,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/gravity_leak_validator.py,0,81,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/gravity_validator.py,0,91,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/hop_validator.py,0,90,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/hypothesis_validator.py,0,81,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/intelligence_query_validator.py,0,81,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/intervention_server_validator.py,0,92,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/invariants/runtime_invariant_checker.py,0,81,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/lead_quality_validator.py,0,79,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/migration_helper_validator.py,0,82,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/mission_preflight_validator.py,0,88,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/read_file_args_validator.py,0,94,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/reasoning_pattern_validator.py,0,84,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/structure_drift_validator.py,0,85,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/test_quality_detector_validator.py,0,88,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/utility_silent_swallower_validator.py,0,88,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/verb_canonicalizer_validator.py,0,83,0.00
